ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
412746;5;04.02.2019;01.12.2017;191,57;0;0;;01.12.2017;;2;;;;;30.07.2019;04.02.2019;1;4
412760;5;04.02.2019;08.01.2018;181,09;0;0;;08.01.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412774;5;04.02.2019;05.01.2018;83,23;0;0;;05.01.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412787;5;04.02.2019;01.01.2018;169,77;0;0;;01.01.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412835;1;04.02.2019;31.12.2018;280;0;0;;01.01.2019;31.10.2019;1;10;31.12.2018;Razlog predčasnega zaključka : Prijava dodatnih najemnikov;0;30.07.2019;04.02.2019;2;4
412854;5;04.02.2019;01.02.2018;154,74;0;0;;01.02.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412885;5;04.02.2019;01.05.2018;86,41;0;0;;01.05.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412903;5;04.02.2019;01.06.2018;135,38;0;0;;01.06.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412910;5;04.02.2019;01.07.2018;154,32;0;0;;01.07.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412922;5;04.02.2019;01.09.2018;104,96;0;0;;01.09.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412943;5;04.02.2019;01.09.2018;142,78;0;0;;01.09.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412985;5;04.02.2019;27.11.2018;106,47;0;0;;27.11.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412992;5;04.02.2019;01.12.2018;107,16;0;0;;01.12.2018;;2;;;;;30.07.2019;04.02.2019;1;4
412998;5;04.02.2019;01.12.2018;42,07;0;0;;01.12.2018;;2;;;;;30.07.2019;04.02.2019;1;4
413004;5;04.02.2019;05.12.2018;36,48;1;0;;05.12.2018;;2;;;;;30.07.2019;04.02.2019;1;4
413018;5;04.02.2019;01.01.2019;153,58;0;0;;01.01.2019;;2;;;;;30.07.2019;04.02.2019;1;4
413045;1;04.02.2019;15.10.2018;2182,41;0;1;4;01.01.2019;31.12.2020;1;24;22.08.2019;Razlog predcasnega zakljucka : Prenos na drugi pravno osebo - Ceeref d.o.o.;1;21.08.2020;04.02.2019;2;4
413056;1;04.02.2019;31.01.2019;170;1;0;;01.02.2019;31.01.2020;1;12;30.06.2019;Razlog predčasnega zaključka : sporazum;0;30.07.2019;04.02.2019;2;4
413060;1;04.02.2019;01.02.2019;144,14;0;1;4;01.03.2019;;2;;31.01.2020;Razlog predcasnega zakljucka : K pogodbi za najem je bil sklenjen aneks, z njim pa je bilo dogovorjeno, da najemnik najame še preostali del površine istega prostora, najem celotnega prostora pa se najema do 1.2.2025. Posledično je bil dne 11.2.2020 narejen novi posel s številko 483334, zato je posel s številko 413060 prekinjen;0;11.02.2020;04.02.2019;1;1
413124;1;05.02.2019;09.01.2019;140;0;0;;14.01.2019;31.12.2019;1;12;31.12.2019;;;01.01.2020;05.02.2019;1;4
413132;1;05.02.2019;26.11.2018;270;0;0;;01.12.2018;30.11.2020;1;24;30.11.2020;;0;01.12.2020;05.02.2019;2;4
413133;1;05.02.2019;01.01.2019;100;0;1;4;01.01.2019;31.12.2019;1;12;31.07.2019;Razlog predcasnega zakljucka : Zaprtje s.p. - Renata Kolmačić;0;09.09.2019;05.02.2019;1;5
413137;5;05.02.2019;30.01.2019;147,08;0;0;;30.01.2019;;2;;;K stanovanju spada atrij, ki še ni vpisan v ZK!;0;30.07.2019;05.02.2019;1;4
413147;1;05.02.2019;17.01.2019;260;0;0;;01.02.2019;31.12.2020;1;23;31.12.2020;;0;01.01.2021;05.02.2019;2;4
413149;1;05.02.2019;05.10.2018;309,99;0;1;4;01.01.2019;31.03.2019;1;3;31.03.2019;;1;30.07.2019;05.02.2019;2;4
413169;1;06.02.2019;26.07.2018;3606,4;1;1;4;01.12.2018;31.12.2018;1;1;31.12.2018;Sklenjena pogodba - se obračunava glede na mesečno št.ur uporabe dvorane.;;30.07.2019;06.02.2019;1;4
413175;1;06.02.2019;11.09.2017;369,59;1;1;4;01.12.2018;31.12.2018;1;1;31.12.2018;Znesek se mesečno spreminja glede na št.ur najema dvorane.;;30.07.2019;06.02.2019;1;4
413186;1;06.02.2019;15.10.2018;1441,44;1;0;;01.01.2019;30.06.2019;1;6;30.06.2019;;1;30.07.2019;06.02.2019;2;4
413224;5;06.02.2019;01.12.2018;85,38;1;0;;01.12.2018;;2;;;;;30.07.2019;06.02.2019;1;4
413225;5;06.02.2019;01.12.2018;80,59;1;0;;01.12.2018;;2;;;;;30.07.2019;06.02.2019;1;4
413260;1;06.02.2019;01.02.2019;100;1;0;;01.02.2019;;2;;17.05.2019;V CENO NAJEMNINE SO VKLJUČENI OBRATOVALNI STROŠKI NAJEMNIKA (VODA, ELEKTRIKA, OGREVANJE TER DRUGI OBRATOVALNI STROŠKI). DDV NI OBRAČUNAN  PO 2.TOČKI 44.ČLENA ZDDV-1. VSAKA POGODBENA STRANKA LAHKO ODSTOPI  OD POGODBENEGA RAZMERJA Z ENOMESEČNIM ODPOVEDNIM ROKOM.Razlog predčasnega zaključka : sporazumna prekinitev;0;30.07.2019;06.02.2019;1;4
413327;1;07.02.2019;12.12.2018;140;0;0;;12.12.2018;11.03.2019;1;3;11.03.2019;;0;30.07.2019;07.02.2019;1;4
413349;4;07.02.2019;12.12.2018;109,7;0;0;;12.12.2018;12.12.2021;1;36;;;0;30.07.2019;07.02.2019;1;4
413412;1;10.02.2019;15.01.2019;285,6;0;0;;15.01.2019;;2;;;;0;30.07.2019;10.02.2019;1;4
413468;1;11.02.2019;11.02.2019;145;0;0;;11.02.2019;31.07.2019;1;6;31.07.2019;;0;01.08.2019;11.02.2019;1;4
413485;2;12.02.2019;01.01.2019;46,12;1;1;4;10.01.2019;;2;;;NajemniK je zaposlena v zavarovalnici.;0;30.07.2019;12.02.2019;1;4
413493;1;12.02.2019;21.12.2018;22,3;0;0;;01.01.2019;31.12.2019;1;12;31.12.2019;;0;01.01.2020;12.02.2019;1;4
413504;1;12.02.2019;25.09.2017;100;0;0;;01.10.2017;01.10.2022;1;60;;;0;30.07.2019;12.02.2019;1;4
413506;1;12.02.2019;21.01.2019;312,97;0;0;;01.02.2019;31.12.2019;1;11;31.12.2019;;0;28.01.2020;12.02.2019;2;4
413520;1;12.02.2019;19.12.2018;166,41;1;1;4;03.01.2019;02.01.2020;1;12;02.01.2020;;1;03.01.2020;13.02.2019;1;4
413564;1;12.02.2019;15.04.2018;380;0;0;;01.05.2018;30.04.2020;1;24;30.04.2020;Aneks 3 k obstoječi pogodbi sklenjen za obdobje 2 let.;0;01.05.2020;12.02.2019;1;4
413709;1;13.02.2019;11.02.2019;1500;0;1;4;11.02.2019;06.12.2019;1;10;31.05.2019;jan-maj-1000 eur, jun-dec-2000 eur;0;31.07.2019;13.02.2019;2;5
416358;1;14.02.2019;08.08.2018;354,72;0;1;4;08.08.2018;08.11.2018;1;3;07.11.2018;Aneks št. 12.;0;30.07.2019;14.02.2019;2;4
416366;1;14.02.2019;20.12.2018;1495,13;0;1;4;01.01.2019;31.12.2020;1;24;31.12.2020;3. dodatek;0;01.01.2021;14.02.2019;2;4
416387;1;14.02.2019;30.05.2018;2559,72;0;0;;30.05.2018;;2;;;Aneks št. 1 k pogodbi z dne 28.11.2016;0;30.07.2019;14.02.2019;1;4
416396;1;14.02.2019;01.02.2019;346;1;0;;01.02.2019;31.07.2019;1;6;01.04.2019;Razlog predčasnega zaključka : predčasnega, sporazumno prekinitev najemne pogodbe;0;30.07.2019;14.02.2019;1;4
