ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Interna oznaka oddanih prostorov;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta oddanih prostorov;Opremljenost oddanih prostorov;Mikrolokacija oddanih prostorov;Izložba;Nakupovalni center;Površina oddanih prostorov;Površina oddanih prostorov enaka delu stavbe;Pogodbena najemnina posameznih oddanih prostorov;Opombe o oddanih prostorih;Leto izgradnje stavbe;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina dela stavbe;Prostori dela stavbe;Uporabna površina oddanih prostorov;Gostinski vrt;Vključenost gostinskega vrta v najemnino;Površina gostinskega vrta
518754;1723;VIČ;LJUBLJANA;2067;1;SKLAD.PROSTORI;;;;;;14;1;;;;18,92;;;;1974;1252002 - Skladišča;pritličje;;4234;4234; proizvodni in skladiščni prostor;;;;
513396;2316;VRTOJBA;ŠEMPETER-VRTOJBA;52;4;N1;VRTOJBA;MEDNARODNI PREHOD;6;;4;5;0;3;;;24,64;;;;1986;9 - Poslovni del stavbe;;;1861,1;1656,6; poslovni prostor;24,64;;;
485165;1727;POLJANSKO PREDMESTJE;LJUBLJANA;1990;6;4403;LJUBLJANA;JAKOPIČEVA ULICA;21;;6;2;0;;;;111,97;;;;2000;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;nadstropje;4;118,3;112; bivalni prostor | klet | zaprta terasa, balkon, loža;;;;
485728;2636;BEŽIGRAD;LJUBLJANA;3626;334;;LJUBLJANA;KRŽIČEVA ULICA;3;;;3;0;;;;13,1;;;;1996;1242003 - Pokrito parkirišče;klet;;13,1;13,1; garažni parkirni prostor;13,1;;;
485911;400;PTUJ;PTUJ;1131;5;;PTUJ;JADRANSKA ULICA;18;;5;5;0;2;;;22,8;;;;1880;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;1;22,8;22,8; bivalni prostor | klet;22,8;;;
512701;1737;TABOR;LJUBLJANA;230;34;;LJUBLJANA;TRDINOVA ULICA;9;;34;3;0;;;;12;;;;1980;1242003 - Pokrito parkirišče;drugo;;2997,8;1450; garažni parkirni prostor;;;;
480612;2706;ZELENA JAMA;LJUBLJANA;1009;129;;;;;;;3;0;;;;13,9;;;;2000;1242003 - Pokrito parkirišče;klet;;13,9;13,9; garažni parkirni prostor;13,9;;;
484783;2490;POSTOJNA;POSTOJNA;148;4;;POSTOJNA;JERŠICE;3;;;5;0;3;;;232,5;;;;1986;1220301 - Poslovni prostori;nadstropje;;903,3;671,6; poslovni prostor;232,5;;;
500903;2455;SEŽANA;SEŽANA;1373;1;P 15A;Sežana;Partizanska cesta;82;;;11;0;;;;304;;;;1953;1251001 - Industrijski del stavbe;pritličje;;1011,5;1011,5; proizvodni in skladiščni prostor;;;;
521012;1737;TABOR;LJUBLJANA;339;28;;LJUBLJANA;KOLODVORSKA ULICA;6;;;2;1;;;;55;;;;1900;34 - Shramba, sušilnica, pralnica;mansarda;;226,5;226,5; shramba, sušilnica, pralnica;55;;;
481483;2017;DOLENJI LOGATEC;LOGATEC;1831;6;;LOGATEC;OBRTNIŠKA ULICA;6;I;6;8;1;2;;;218,25;;;;2000;1251001 - Industrijski del stavbe;pritličje;;249,3;0; proizvodni in skladiščni prostor;218,25;;;
501958;1720;KRAKOVSKO PREDMESTJE;LJUBLJANA;193;6;;LJUBLJANA;KRAKOVSKI NASIP;10;;6;2;1;;;;41,7;;;;1826;2 - Stanovanje;pritličje;;41,7;41,7; bivalni prostor;41,7;;;
512885;2636;BEŽIGRAD;LJUBLJANA;3626;417;;LJUBLJANA;KRŽIČEVA ULICA;3;;;3;0;;;;12,5;;;;1996;1242003 - Pokrito parkirišče;klet;;12,5;12,5; garažni parkirni prostor;12,5;;;
