ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
478648;1;11.01.2020;12.12.2019;78000;0;;;;;;11.01.2020;11.01.2020;1;5
478654;1;11.01.2020;28.10.2019;73500;0;;;;;;11.01.2020;11.01.2020;1;5
478660;1;11.01.2020;11.12.2019;2600;0;;;;;;11.01.2020;11.01.2020;1;5
478677;1;11.01.2020;13.12.2019;103000;0;;;;;;11.01.2020;11.01.2020;1;5
478682;1;11.01.2020;30.10.2019;3500;0;;;;;;11.01.2020;11.01.2020;1;5
478684;1;11.01.2020;26.11.2019;185,2;0;;;;;;11.01.2020;11.01.2020;1;5
478691;1;11.01.2020;05.12.2019;5363,6;0;;;;;;11.01.2020;11.01.2020;1;5
478699;1;11.01.2020;06.08.2019;3850;0;;;;;;11.01.2020;11.01.2020;1;5
478738;1;11.01.2020;20.11.2019;2700;0;;;;;;11.01.2020;11.01.2020;1;5
478752;1;11.01.2020;16.12.2019;145000;0;;;;;;11.01.2020;11.01.2020;1;5
478761;1;11.01.2020;11.12.2019;8568;0;;;;;;11.01.2020;11.01.2020;1;5
478768;1;11.01.2020;12.12.2019;8000;0;;;;;;11.01.2020;11.01.2020;1;5
478773;1;11.01.2020;11.12.2019;87000;0;;;;;;11.01.2020;11.01.2020;1;5
478774;1;11.01.2020;04.12.2019;786;0;;;;;;11.01.2020;11.01.2020;1;5
478784;1;11.01.2020;09.12.2019;75000;0;;;;;;11.01.2020;11.01.2020;1;5
478785;1;11.01.2020;09.12.2019;105000;0;;;;;;11.01.2020;11.01.2020;1;5
478786;1;11.01.2020;02.12.2019;12861,6;0;;;;;;11.01.2020;11.01.2020;1;5
478789;1;11.01.2020;28.11.2019;110000;0;;;;;;11.01.2020;11.01.2020;1;5
478798;1;11.01.2020;27.11.2019;14000;0;;;;;;11.01.2020;11.01.2020;1;5
478803;1;11.01.2020;16.11.2019;7800;0;;;;;;11.01.2020;11.01.2020;1;5
478807;1;11.01.2020;17.12.2019;163000;0;;;;;;11.01.2020;11.01.2020;1;5
478809;1;11.01.2020;10.12.2019;180000;0;;;;;;11.01.2020;11.01.2020;1;5
478816;1;11.01.2020;27.09.2019;639,6;0;;;;;;11.01.2020;11.01.2020;1;5
478824;1;11.01.2020;17.12.2019;412;0;;;;;;11.01.2020;11.01.2020;1;5
478826;1;11.01.2020;27.11.2019;11505,19;0;;;;;;11.01.2020;11.01.2020;1;5
478830;1;11.01.2020;13.12.2019;130000;0;;;;;;11.01.2020;11.01.2020;1;5
478832;1;11.01.2020;05.12.2019;70000;0;;;;;;11.01.2020;11.01.2020;1;5
